Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
13959371,1576000,966000,660,2.6209736e+09,0.079467431,352.29486,10310.626,112324.16,2068.469,317230.59,643786.25,32751914,2.2317441e+12,0.72993976,1.0738952,0.23012552,1.8308377,7.2078428,0.75552362,0.88789982,2.319927,4377,2.0364239
13959372,1576000,968000,581,2.3161316e+09,0.072429396,319.05365,8571.9375,119821.97,443.85593,409275.19,633912.19,27551824,1.837584e+12,0.65165883,1.0353354,0.20421793,1.802817,7.0827661,0.7424131,0.88610893,2.3432357,4377,2.0751028
13959373,1576000,970000,203,7.9439904e+08,0.12218988,156.4968,5275.1621,41033.879,583.69244,168615.88,285829.25,3524005.8,7.6756001e+10,0.59201092,0.75838464,0.18189964,1.7452013,4.9474154,0.51858634,0.85093045,2.9229891,4377,2.4853451
13959374,1576000,972000,278,1.09817e+09,0.098193116,185.69421,11494.676,41175.449,2420.5662,228039.27,374885.97,5537999,1.35388e+11,0.63875544,0.95174915,0.25135624,1.7735848,4.9859281,0.52262324,0.85166115,2.9081352,4377,2.4572983
13959375,1576000,974000,293,1.1649563e+09,0.10598663,195.22737,12862.367,40896.039,3125.3484,215803.14,371650.06,5924181.5,1.46628e+11,0.64757586,1.0132252,0.26979741,1.7732097,4.9805598,0.52206057,0.85155958,2.910192,4377,2.4603353
13959376,1576000,976000,316,1.2299758e+09,0.070188478,202.67914,16745.902,88498.883,2607.7102,302156.47,469267.31,7606394,2.5774399e+11,0.60000002,1.053519,0.25901639,1.8102762,5.0988975,0.53446472,0.85377949,2.8658593,4377,2.4018347
13959377,1576000,978000,322,1.2967697e+09,0.065340839,209.05014,19059.82,81352.539,2090.0723,325382.28,499394.78,7919223,2.62932e+11,0.61794472,1.0431843,0.26545754,1.8100203,5.0982733,0.53439927,0.85376793,2.8660877,4377,2.4027693
13959378,1576000,980000,331,1.3250551e+09,0.071173698,214.81194,20328.119,76927.109,1572.4341,306837.97,483684.47,8435357,2.8424398e+11,0.63096219,1.0586375,0.27721944,1.8065279,5.0920377,0.53374565,0.85365194,2.8683729,4377,2.4082134
13959379,1576000,982000,343,1.3339226e+09,0.067249976,219.63539,21460.775,74011.227,1054.796,320666.31,499257,9011283,3.0498e+11,0.64395684,1.0857214,0.2870293,1.8105648,5.1001468,0.53459567,0.85380274,2.8654022,4377,2.403887
13959380,1576000,984000,324,1.2973042e+09,0.08693438,224.92534,22729.742,71557.305,537.1579,279624.25,433042.03,8769154,3.0131601e+11,0.65802854,1.020702,0.28125,1.7899719,5.0610867,0.53050137,0.85307461,2.8797989,4377,2.4296279
13959381,1576000,986000,360,1.4042035e+09,0.044909921,229.46104,17299.188,91694.672,161.22604,404868.44,626828.62,10279193,3.83096e+11,0.55971837,1.3003762,0.18018018,1.7194659,6.0715327,0.63641596,0.87065464,2.566956,4377,2.2852263
13959382,1576000,988000,279,1.0826048e+09,0.052255135,221.60396,20328.24,69186.742,803.54846,346713.47,510241.09,7473454.5,2.5851199e+11,0.65890515,0.90311861,0.1555184,1.7617737,5.6750956,0.59486157,0.86404949,2.6764169,4377,2.3223023
14024899,1578000,950000,27,1.1489431e+08,0.13369541,144.81189,3826.4583,24384.803,508.67157,49798.586,103919.24,286471.06,3.92e+09,0.54131055,0.39106604,0.026865672,1.7114372,4.6232648,0.48460904,0.84459776,3.0578153,4377,2.5893831
14024902,1578000,956000,399,1.6178246e+09,0.052112162,174.77138,34865.465,166417.69,1046.0873,431358.34,624598.75,16016186,1.08388e+12,0.65285075,0.83477348,0.21521036,1.8443931,5.7967834,0.60761684,0.86611396,2.6412249,4377,2.2293563
14024903,1578000,958000,532,2.1507267e+09,0.035818134,168.12685,19580.379,162416.84,2977.939,630920.81,868652.5,23242488,1.541288e+12,0.6134758,0.98698986,0.16289039,1.5571437,7.8433495,0.82213718,0.89664698,2.2129798,4377,2.1924701
14024904,1578000,960000,684,2.7341988e+09,0.041406732,102.7207,5124.3936,158587.2,4909.7905,557646.19,910928.94,32856712,2.2367041e+12,0.66820788,1.2103511,0.20460664,1.5969093,8.2115383,0.86073065,0.90146852,2.1585922,4377,2.1190391
14024905,1578000,962000,677,2.7109199e+09,0.042074323,49.504906,3957.3403,154215.16,5913.98,549370.62,899818.06,31794984,2.0894361e+12,0.69118017,1.2284226,0.23506944,1.8347135,7.2442141,0.75933605,0.88841611,2.3132999,4377,2.0289388
14024906,1578000,964000,677,2.7033825e+09,0.069167741,10.183012,5031.1274,115774.62,4704.6436,340978.59,700820.69,32183870,2.1365241e+12,0.69887602,1.209151,0.2351511,1.834949,7.2429538,0.75920397,0.88839823,2.3135283,4377,2.0288837
14024907,1578000,966000,698,2.7752707e+09,0.06903068,355.92502,7344.6436,114638.4,3170.5068,354272.84,710782.19,33527696,2.2398e+12,0.67687964,1.2441401,0.24244529,1.8429722,7.2695127,0.76198781,0.88877404,2.3087294,4377,2.0190542
14024908,1578000,968000,735,2.9090816e+09,0.066958018,348.38336,9293.4482,117790.84,2443.4724,381974.56,738893.06,35164780,2.3456601e+12,0.62705147,1.3339493,0.25547445,1.8568946,7.3142128,0.76667327,0.88940412,2.3007312,4377,2.0022793
14024909,1578000,970000,252,9.905303e+08,0.10444565,182.86363,9432.6475,43343.395,2228.7729,197471.52,345218.16,4760531.5,1.11232e+11,0.58170491,0.86186433,0.22846782,1.762624,4.9686718,0.52081448,0.85133427,2.9147623,4377,2.4688301
14024910,1578000,972000,268,1.0664988e+09,0.075814649,184.60892,13795.812,60298.457,1711.1348,267587.78,420444.38,5677281,1.5080001e+11,0.62672591,0.9284367,0.23843417,1.7615974,5.0087223,0.52501255,0.85209155,2.8994515,4377,2.4620576
14024911,1578000,974000,289,1.1413386e+09,0.10379435,191.95227,14734.456,42656.695,1193.4967,219168.94,371728.06,6181640,1.60108e+11,0.65417147,0.99300045,0.2653811,1.7730244,4.9799643,0.52199811,0.85154831,2.9104204,4377,2.4602458
14024912,1578000,976000,309,1.2290426e+09,0.06607537,200.88129,18109.268,95363.719,675.85858,322284.84,483468.97,7488955,2.4151201e+11,0.61860633,1.0438867,0.25224489,1.8094277,5.0976491,0.53433383,0.85375631,2.8663163,4377,2.4022388
14024913,1578000,978000,316,1.258149e+09,0.055413585,205.99927,20235.932,86912.242,158.2205,387477.44,534149.5,8035237.5,2.74656e+11,0.61060882,1.0429969,0.25922889,1.8099502,5.0982733,0.53439927,0.85376793,2.8660877,4377,2.4022706
14024918,1578000,988000,220,8.6007418e+08,0.044498652,208.44125,19683.012,88960.297,395.36389,325822.59,492832.62,6801286,2.7508398e+11,0.62386882,0.84649819,0.11591148,1.6316168,5.8662109,0.61489421,0.86727685,2.6218007,4377,2.3940551
14024919,1578000,990000,159,6.3726387e+08,0.059031662,227.5451,24006.855,70044.805,472.77441,264852.34,368317.28,4991292.5,1.9671201e+11,0.72565877,0.57588595,0.091854416,1.6779318,5.5362368,0.58030641,0.8616513,2.7184644,4377,2.4187374
14024920,1578000,992000,27,1.1237669e+08,0.12138332,33.573235,16032.718,50991.473,25.066832,51742.086,107860.77,420705.41,1.0471999e+10,0.86324787,0.29654858,0.027607363,1.8041657,4.4852939,0.47014698,0.84179682,3.1211152,4377,2.5436757
14024959,1578000,1070000,20,84161584,0.28257868,26.767103,3113.6001,12823.352,419.03409,16740.615,61177.562,113624.77,7.68e+08,0.85789472,0.74300271,0.33898306,2.0255036,2.462296,0.25809702,0.78994209,4.8638024,4377,3.137146
14024960,1578000,1072000,26,1.0651844e+08,0.19132763,5.049664,4270.6499,21239.537,936.67218,31781.014,83642.781,190560.73,1.936e+09,0.63076925,1.0274701,0.43333334,2.0268719,2.4633157,0.25820392,0.7899757,4.8622031,4377,3.1367977
14024961,1578000,1074000,45,1.7870341e+08,0.095070153,346.92938,9048.2617,40911.367,1454.3103,71564.195,153691.3,617051,1.2836e+10,0.46565658,1.6786686,0.3125,2.20983,3.0151,0.31604174,0.80672526,4.1553931,4377,2.7219269
14024962,1578000,1076000,43,1.7611064e+08,0.099496238,321.87299,10221.481,42791.152,490.11719,72541.445,149140.09,595931.75,1.24e+10,0.49169436,1.5573449,0.20187794,1.9995919,3.3096828,0.3469198,0.81469178,3.874543,4377,2.7514877
14090436,1580000,952000,41,1.7234885e+08,0.15493503,112.32394,2899.981,24393.287,1118.7887,51184.496,118231.8,416932.47,5.5559997e+09,0.5,0.48117304,0.039961014,1.73311,4.6413045,0.48649991,0.84495914,3.0498171,4377,2.5659239
14090437,1580000,954000,37,1.4533992e+08,0.21437387,332.7402,5443.7612,21807.059,118.78866,54191.434,92302.078,398846.56,5.584e+09,0.64114112,0.31316102,0.03592233,1.7323291,4.6392355,0.48628306,0.84491771,3.0507312,4377,2.5672176
14090438,1580000,956000,398,1.6122522e+09,0.045625165,176.46216,34560.273,168726.42,557.23877,450565.47,666375.75,15481826,1.034248e+12,0.60223031,1.0252253,0.22384702,1.8351307,5.7352939,0.60117155,0.86507499,2.6588209,4377,2.248976
14090439,1580000,958000,447,1.7983128e+09,0.049915854,181.40364,34890.379,165036.55,2556.4268,429061.66,672850.06,18003088,1.2003801e+12,0.62434167,1.0866536,0.21901029,1.8730088,6.0015135,0.6290766,0.86951286,2.5852377,4377,2.1701105
14090440,1580000,960000,698,2.7685064e+09,0.039093904,122.71594,5780.5039,161469.53,3656.6257,569556.88,943350.69,33736648,2.3245239e+12,0.64278346,1.3215648,0.20873205,1.6027124,8.2359047,0.86328471,0.90178174,2.1551645,4377,2.1115093
14090441,1580000,962000,694,2.7584494e+09,0.046004292,86.628716,3305.7319,157061.38,4047.4827,498289.09,868037.06,32427108,2.111524e+12,0.66856712,1.2816948,0.24097222,1.8412323,7.2657065,0.76158887,0.88872021,2.3094151,4377,2.0209582
14090442,1580000,964000,693,2.782508e+09,0.06621258,33.016441,2768.9546,118111.2,4935.6787,360094.25,726696.19,32596908,2.1391e+12,0.67813563,1.2547195,0.24070857,1.841087,7.2631717,0.76132315,0.88868439,2.3098719,4377,2.0213709
14090443,1580000,966000,720,2.8733829e+09,0.068235517,0.98067278,4510.3613,116950.35,2960.7166,361635.53,727438.75,33972676,2.2321719e+12,0.65097356,1.309922,0.25008684,1.8510826,7.2975459,0.76492625,0.88916951,2.3037021,4377,2.0090363
14090444,1580000,968000,761,3.0496694e+09,0.065237097,349.11679,6194.542,116031.44,1082.0157,396245.38,766450.31,35874544,2.3481601e+12,0.60766995,1.4114627,0.26469564,1.8662993,7.3451834,0.76991957,0.88983893,2.2952468,4377,1.9909551
14090445,1580000,970000,295,1.1819366e+09,0.093365096,190.01295,16023.177,68498.766,296.9212,223129.97,398850.16,6720334,1.91284e+11,0.61238325,0.92427325,0.25519031,1.7818109,5.045752,0.52889401,0.85278755,2.8855119,4377,2.4377384
14090455,1580000,990000,163,6.3198995e+08,0.028050473,215.35614,21759.533,86186.547,629.50171,397650.5,532095.94,5408295,2.3405601e+11,0.63531017,0.7022506,0.086840704,1.5903091,5.8008218,0.60804015,0.86618191,2.6400824,4377,2.4411535
14090456,1580000,992000,132,5.358129e+08,0.07927078,229.33273,24908.119,70776.242,1481.9479,188816.19,291443.88,4297227,1.7961601e+11,0.72727275,0.56819826,0.076521739,1.6566767,5.5113182,0.57769448,0.86121601,2.726234,4377,2.4418185
14090457,1580000,994000,25,1.0494451e+08,0.099299416,28.17609,9462.46,47904.781,867.2215,54839.93,115242.18,247968.09,3.804e+09,0.95333332,0.28696173,0.066489361,1.7588444,3.7690113,0.39506647,0.82606447,3.5242231,4377,2.7868304
14090492,1580000,1064000,3,11631508,0.37719709,348.20544,2420.0386,5331.2705,254.10995,9141.6611,19685.152,10472.136,40000000,1,0.12341557,0.096774191,1.9889488,2.4519994,0.25701773,0.78960222,4.8800273,4377,3.1696861
14090493,1580000,1066000,16,65630996,0.46494973,89.226395,5511.7671,13058.122,345.89005,10716.372,42116.902,103503.72,8.36e+08,0.95833331,0.56723201,0.27118644,2.0244484,2.4617136,0.25803596,0.78992289,4.8647165,4377,3.1375639
14090494,1580000,1068000,29,1.0728474e+08,0.12821835,297.36554,4766.6523,34587.191,1833.2477,58714.168,102541.3,321943.31,6.2360003e+09,0.60837436,0.99509341,0.13181818,1.9968998,3.3081048,0.3467544,0.81465065,3.8759141,4377,2.752841
14090495,1580000,1070000,28,1.1384558e+08,0.13059114,288.69232,6518.582,36464.066,2350.8857,58858.441,104666.13,289238.53,5.456e+09,0.64814812,0.98457205,0.13793103,1.9845558,3.3020701,0.34612185,0.81449312,3.88117,4377,2.765692
14090496,1580000,1072000,29,1.1921129e+08,0.12239902,285.71677,7215.3789,38399.52,1959.0499,61181.363,110630.45,294749.19,5.512e+09,0.63793105,1.0358036,0.14285715,1.9851513,3.3023319,0.3461493,0.81449997,3.8809414,4377,2.7651813
14090497,1580000,1074000,46,1.9462461e+08,0.093374938,338.86099,7126.3359,40347.773,1511.3147,77644.211,161841.03,545793.5,9.552e+09,0.48212561,1.7589884,0.37096775,2.196157,3.003571,0.31483328,0.80640119,4.1675048,4377,2.7385266
14090498,1580000,1076000,43,1.7821066e+08,0.09540195,322.79538,7489.4634,40174.098,2102.3755,74938.391,153212.12,496592.44,8.12e+09,0.50941306,1.6196736,0.58108109,2.0537381,2.4778299,0.25972527,0.79045272,4.8395796,4377,3.1100712
14090499,1580000,1078000,34,1.4321453e+08,0.12572889,292.01648,8560.0381,30767.621,170.52371,46750.348,119641.25,344843.75,4.7719997e+09,0.58110517,1.2694255,0.5,2.0489137,2.4751782,0.25944734,0.79036576,4.8436928,4377,3.1131294
14155970,1582000,948000,74,2.9069754e+08,0.18781729,95.177689,14634.107,47929.617,38.094219,67675.773,139462.61,1377280.2,3.6715999e+10,0.8918919,0.37550068,0.068709381,1.6508821,4.8483171,0.50819892,0.84902966,2.9622943,4377,2.5851319
14155971,1582000,950000,82,3.4324902e+08,0.16041903,99.611153,13717.086,47289.848,604.00342,65332.977,163976.5,1480816.9,3.8187999e+10,0.86901534,0.44333231,0.076066792,1.6579144,4.853404,0.50873214,0.84912795,2.9602377,4377,2.5779665
14155972,1582000,952000,107,4.376512e+08,0.089355372,112.36358,12493.891,45591.934,1768.2882,124653.52,248089.66,1891129.8,4.6020002e+10,0.65402925,0.79634655,0.098617509,1.6772828,4.8744292,0.51093596,0.84953344,2.9517825,4377,2.5566714
14155973,1582000,954000,136,5.2178819e+08,0.065843448,120.19616,14566.283,50205.684,1893.3981,208314.75,315570.03,2661446,7.1808e+10,0.62091506,0.70230651,0.12132025,1.6826074,4.9438901,0.51821685,0.85086334,2.92436,4377,2.5358007
14155974,1582000,956000,389,1.5414868e+09,0.040601995,176.61798,36315.883,171030.97,2108.6743,476888.97,690718.56,15458472,1.045956e+12,0.58860946,1.1018784,0.21878515,1.8314,5.7281919,0.60042709,0.86495447,2.6608775,4377,2.2530637
14155975,1582000,958000,431,1.7188156e+09,0.051664494,180.98962,38539.184,167646.45,2173.7153,420052.22,646581.81,18193036,1.251404e+12,0.60135972,1.1590462,0.24254361,1.847415,5.7614861,0.603917,0.86551863,2.6512797,4377,2.2352891
14155976,1582000,960000,710,2.8216218e+09,0.041686341,134.50151,7464.4033,164133.69,1666.6943,544539.31,922268.62,34247604,2.3392921e+12,0.62005603,1.3677619,0.21232058,1.6079401,8.2555027,0.86533892,0.90203309,2.1524222,4377,2.1049707
14155977,1582000,962000,707,2.8102254e+09,0.046488017,121.31779,4278.3462,159894.95,2406.0493,496861.88,871575.5,33190738,2.181004e+12,0.64862502,1.3409179,0.23433875,1.8089103,7.465035,0.78248239,0.89150852,2.2744515,4377,2.0262012
