Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
1900554,-652,-518,103,401.80939,0.0958011,189.27953,12.370752,57.140335,0.67556113,99.864685,229.57771,2083.752,66196,0.59775364,1.3090307,0.29428571,1.2969481,7.0733738,1.1393148,0.90680867,1.8585858,397,2.1325531
1900555,-652,-516,40,153.61374,0.27618703,193.46231,4.6216097,22.256504,0.66016591,29.698015,83.602318,346.24316,3776,0.70769233,0.64750898,0.1923077,1.6875801,4.1608081,0.67018515,0.83114666,2.4595959,397,2.2401795
1900556,-652,-514,28,116.62183,0.34622461,208.78462,2.6221406,14.858696,0.64758146,21.2162,65.060272,198.30292,1688,0.84126985,0.52783358,0.13861386,1.6184543,4.0351462,0.64994466,0.82715797,2.5050504,397,2.3280163
1900557,-652,-512,26,108.74202,0.35560164,231.97867,3.0966775,14.868218,0.63499701,19.986168,61.990017,184.83061,1628,0.88923079,0.50638008,0.13131313,1.6056552,3.9949288,0.64346677,0.82586342,2.5202019,397,2.3488829
1900558,-652,-510,28,108.56982,0.33986375,243.42357,4.1453247,16.098516,0.62241262,20.586561,63.358822,216.56659,2152,0.80423278,0.53975999,0.13725491,1.6178885,4.0487328,0.65213299,0.82759333,2.5,397,2.3251648
1900559,-652,-508,31,125.30833,0.2559911,237.43285,4.8174505,17.713594,0.60982817,27.456539,78.430046,261.53223,2860,0.69462365,0.58197427,0.14351852,1.6309233,4.1536222,0.66902763,0.83092082,2.4621212,397,2.2891736
1900560,-652,-506,68,275.92538,0.13996772,226.62802,2.4669802,29.722769,0.92724985,48.309231,157.39351,823.23602,12944,0.61018437,1.1648055,0.23448277,1.6364017,5.2055135,0.83845675,0.86149174,2.1666667,397,2.0840847
1900561,-652,-504,75,321.43732,0.075280041,224.91229,5.5892768,57.834278,1.5241485,98.88295,231.63979,1094.7311,23280,0.55891889,1.2590613,0.2173913,1.2182262,6.4475794,1.0385175,0.89262325,1.9419192,397,2.2714224
1966090,-650,-518,87,332.35898,0.10960121,192.81024,17.28673,59.120872,0.063047387,105.18938,195.20952,2123.1777,74196,0.77225339,0.85869747,0.27187499,1.391654,6.230433,1.0035415,0.88748872,1.9747474,397,2.1443975
1966096,-650,-506,47,196.79535,0.17325987,156.64131,4.0093608,30.958632,0.5327214,45.065514,119.47124,588.02448,9924,0.96484739,0.691405,0.2034632,1.6739185,4.4371719,0.71469927,0.83963704,2.3686869,397,2.1900661
1966097,-650,-504,56,248.94266,0.075016446,193.53835,5.2736483,59.655106,1.834147,97.320282,204.20969,841.82172,19828,0.82662338,0.85691291,0.19310345,1.5796005,5.0737281,0.81722999,0.85790628,2.1969697,397,2.1548085
2031626,-648,-518,85,318.61615,0.10686702,191.05531,19.971643,61.10268,0.058911007,109.13117,193.56061,2260.0161,83820,0.77731091,0.83614898,0.265625,1.3843917,6.1983175,0.99836856,0.88671935,1.979798,397,2.1546974
2031632,-648,-506,44,188.32256,0.17712778,163.37909,5.8689289,31.881413,0.29285386,43.733227,115.58801,558.67853,9676,0.99577165,0.63552338,0.19469027,1.6633509,4.3726311,0.70430362,0.83768731,2.3888888,397,2.2126365
2031633,-648,-504,54,232.77702,0.076381803,187.86275,5.9127903,61.515076,2.1377947,93.670341,195.69514,819.92322,19064,0.86862332,0.80640239,0.18815331,1.5805542,5.0207663,0.80869937,0.8564477,2.2095959,397,2.1626217
2031634,-648,-502,68,270.93878,0.082013316,204.14621,10.320092,62.585663,0.1596064,124.25935,203.75034,1371.2421,43492,0.6093064,1.1077832,0.20543806,1.2615932,6.1039267,0.98316497,0.88444245,1.9949495,397,2.2749686
2097162,-646,-518,82,308.27792,0.10382278,189.6674,22.430605,63.085636,0.054774627,113.91097,193.1656,2321.4343,90116,0.79644686,0.80260533,0.25545171,1.3689314,6.1665311,0.9932487,0.88595515,1.9848485,397,2.1721287
2097169,-646,-504,50,224.24013,0.075182289,184.78119,6.7106152,63.403278,1.8778058,93.505272,193.59932,699.71136,13464,0.957551,0.75490379,0.21645021,1.6883436,4.4618683,0.71867716,0.84037799,2.3611112,397,2.1730411
2097170,-646,-502,67,265.17896,0.083837219,200.43375,10.914922,64.350121,0.45417508,118.85677,199.36826,1354.5255,42204,0.64993215,1.0663235,0.20180723,1.2515739,6.1039267,0.98316497,0.88444245,1.9949495,397,2.2839398
2162698,-644,-518,79,299.1308,0.10076681,188.59729,24.59082,65.069633,0.050638251,118.92391,193.14201,2371.6191,96792,0.80038947,0.77426159,0.24610592,1.3570144,6.1194582,0.98566669,0.88481873,1.9924242,397,2.1885395
2162700,-644,-514,41,169.01947,0.28635535,22.197369,11.876448,27.876295,0.13547711,42.351048,86.123299,485.99686,7300,0.91097564,0.86143631,0.54666668,1.9591919,2.6991551,0.43475533,0.77819061,3.25,397,2.5229769
2162701,-644,-512,44,178.5854,0.27021453,10.497345,11.462288,27.679314,1.7912476,27.003872,91.132553,540.9184,8804,0.85306555,0.99177361,0.58666664,1.9559165,2.7082739,0.4362241,0.77857721,3.2424242,397,2.5271144
2162702,-644,-510,44,180.4673,0.2099757,358.61209,11.07203,28.379547,1.4019397,46.564064,103.92492,533.57666,8616,0.79704016,1.0293738,0.31884059,1.5965706,3.7401977,0.60243702,0.81744826,2.6237373,397,2.4419951
2162705,-644,-504,49,220.53409,0.13868925,183.15523,8.1770077,39.58744,1.4213427,43.097153,141.35832,734.21606,15264,0.9855442,0.72419262,0.21212122,1.6836302,4.4536057,0.71734631,0.84013039,2.3636363,397,2.1786249
2162706,-644,-502,66,259.5578,0.083908282,197.59413,11.58984,66.15818,0.76619589,115.40197,197.16034,1326.2098,40732,0.66993004,1.0594778,0.20183486,1.2712873,6.0123677,0.96841753,0.88221145,2.0101011,397,2.2783024
2228234,-642,-518,76,292.01614,0.098155871,187.75438,26.28273,67.054581,0.046501871,118.8875,193.35269,2386.1619,101056,0.8091228,0.74380362,0.23676012,1.3445463,6.0730987,0.97819948,0.88369381,2,397,2.2054601
2228236,-642,-514,41,168.15582,0.2803297,28.152359,9.9015665,25.897142,0.13667487,42.371979,86.821312,425.43716,5804,0.90121949,0.85132509,0.36936936,1.9969715,3.1396177,0.50570107,0.79590327,2.9343433,397,2.2954185
2228237,-642,-512,45,190.77097,0.23107183,11.081256,9.2043629,25.683002,2.1366746,34.009121,101.85622,457.08609,6452,0.83333331,0.99906218,0.32608697,1.5992364,3.7460237,0.60337538,0.81764507,2.621212,397,2.4388394
2228238,-642,-510,45,189.48969,0.21839073,356.86993,8.8812218,26.438181,2.3107805,43.049129,104.41927,461.65656,6552,0.81212121,1.0208571,0.32608697,1.5992364,3.7460237,0.60337538,0.81764507,2.621212,397,2.4388394
